Object Id, mean sampling in band 1, mean sampling in band2, period, lower error, upper error, significance, pair of bands
1385092.0,19.22764705882352,19.227720588235304,278.35768963117584,25.92622381288146,4.681822450843697,1.0,12.0
1385092.0,19.22764705882352,19.227720588235304,202.42914979757063,7.909783972550315,4.794902902432085,0.98,12.0
1385092.0,19.22764705882352,19.227720588235304,202.42914979757063,7.909783972550315,4.794902902432085,0.98,13.0
1385092.0,19.22764705882352,19.22764705882352,278.35768963117584,25.92622381288146,4.681822450843697,1.0,14.0
1385092.0,19.22764705882352,19.22764705882352,202.42914979757063,7.909783972550315,4.794902902432085,1.0,14.0
1385097.0,19.22764705882352,19.227720588235304,218.6987424822305,10.806600926873955,2.1825237752820783,1.0,12.0
1385097.0,19.22764705882352,19.227720588235304,218.6987424822305,10.806600926873955,2.1825237752820783,1.0,13.0
1385097.0,19.22764705882352,19.227720588235304,121.24886329190646,59.75080927876166,2.022432624215,1.0,13.0
1385097.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1385107.0,20.9683606557377,20.9683606557377,180.09905447996377,8.37686452155748,1.918570304333059,1.0,12.0
1385107.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1385107.0,20.9683606557377,20.9683606557377,180.09905447996377,6.887378767288368,5.1673797546965545,1.0,14.0
1385133.0,20.27100775193798,20.271085271317837,278.35768963117584,33.30401497409298,8.76560526315427,1.0,12.0
1385133.0,20.27100775193798,20.271085271317837,162.20600162205983,7.730220500860952,1.5176652750976416,1.0,12.0
1385133.0,20.27100775193798,20.271085271317837,278.35768963117584,33.30401497409298,8.76560526315427,1.0,13.0
1385133.0,20.27100775193798,20.271085271317837,162.20600162205983,7.730220500860952,1.5176652750976416,1.0,13.0
1385133.0,20.27100775193798,20.271085271317837,278.35768963117584,33.30401497409298,8.76560526315427,1.0,14.0
1385133.0,20.27100775193798,20.271085271317837,162.20600162205983,7.730220500860952,1.5176652750976416,0.98,14.0
1385145.0,20.42945312500001,20.42945312500001,288.1844380403456,7.670888256129501,7.243039205390801,0.94,12.0
1385145.0,20.42945312500001,20.42945312500001,202.42914979757063,11.098979547652618,13.239568743956227,1.0,12.0
